Year,Title_Length,Title_Word_Count,Has_Number,Genre_Action,Genre_Comedy,Genre_Drama,Genre_Thriller,Genre_Horror,Genre_Romance,Genre_Crime,Genre_Mystery,Genre_Adventure,Genre_Fantasy,Genre_Sci-fi,Genre_Historical,Genre_Biographical,Genre_War,Genre_Family,Genre_Musical,Genre_Sport,Genre_Animation,Genre_Western,Genre_Documentary,Genre_Political,Director_Quality_Score,runtime,log_imdb_votes,Crew_Popularity_Index,Language_Target_Score,Country_Target_Score,Festival_Release_Flag,Success_Category_Encoded,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2018,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.090091836665917,120.0,0.0,6.089649847876256,6.0927508524807905,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.191136734165835,119.0,0.0,6.4787660818713455,6.077476858481877,6.100817391802138,1,0,False,True,False,False,False,False,False,False,False,False,False
2018,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.090091836665917,125.0,0.0,6.089649847876256,6.10511892324487,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.090091836665917,138.0,0.0,6.089649847876256,6.101633936247304,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,12,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.757003285943773,164.0,0.0,7.778615384615383,6.115726205331486,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,26,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.117725310914127,122.0,0.0,6.234437017616147,6.112889402933272,6.100817391802138,1,0,False,False,False,False,False,True,False,False,False,False,False
2018,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.100817391802411,170.0,0.0,7.571428571428571,6.115726205331486,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.479281201124076,138.0,0.0,7.1100666666666665,6.077476858481877,6.100817391802138,0,0,False,False,False,True,False,False,False,False,False,False,False
2018,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.100817391802411,160.0,0.0,4.384230769230769,6.077476858481877,6.100817391802138,1,0,False,False,False,False,True,False,False,False,False,False,False
2018,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.090091836665917,130.0,0.0,6.089649847876256,6.0873963810583005,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,19,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.100817391802411,159.0,0.0,6.060228287841195,6.101633936247304,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.092501820953507,125.0,0.0,5.976859609268514,6.0873963810583005,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1106149757911306,125.0,0.0,6.71875,6.0873963810583005,6.100817391802138,1,0,False,False,False,False,False,True,False,False,False,False,False
2018,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.085830664989667,136.0,0.0,6.120866666666666,6.0873963810583005,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.086562127490004,125.0,0.0,6.060228287841195,6.077476858481877,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.090091836665917,114.0,0.0,6.4294215600350615,6.115726205331486,6.100817391802138,0,0,True,False,False,False,False,False,False,False,False,False,False
2018,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.100817391802411,108.0,0.0,5.808228287841194,6.10511892324487,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,16,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.100817391802411,140.0,0.0,4.982857142857144,6.077476858481877,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
2018,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.100817391802411,153.0,0.0,6.160988319856244,6.077476858481877,6.100817391802138,1,0,False,False,False,False,False,False,False,False,False,False,False
